id,observed_on_string,observed_on,time_observed_at,user_id,user_login,quality_grade,url,image_url,description,latitude,longitude,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
67400328,2021-01-01 9:04:05 AM EST,2021-01-01,2021-01-01 14:04:05 UTC,919255,cheriecornmesser,research,https://www.inaturalist.org/observations/67400328,,,40.4351150338,-79.9003892206,Yellow-bellied Sapsucker,Sphyrapicus varius,Yellow-bellied Sapsucker,Aves,18463
67404782,2021-01-01 9:52:16 AM EST,2021-01-01,2021-01-01 14:52:16 UTC,919255,cheriecornmesser,needs_id,https://www.inaturalist.org/observations/67404782,https://inaturalist-open-data.s3.amazonaws.com/photos/108895362/medium.jpeg,,40.4369444444,-79.9038888889,Mustelids,Mustelidae,Mustelids,Mammalia,41770
67404924,2021-01-01 9:27:46 AM EST,2021-01-01,2021-01-01 14:27:46 UTC,919255,cheriecornmesser,needs_id,https://www.inaturalist.org/observations/67404924,https://inaturalist-open-data.s3.amazonaws.com/photos/108895656/medium.jpeg,,40.4386111111,-79.9008333333,Stereum,Stereum,,Fungi,55503
67405029,2021-01-01 9:22:11 AM EST,2021-01-01,2021-01-01 14:22:11 UTC,919255,cheriecornmesser,needs_id,https://www.inaturalist.org/observations/67405029,https://inaturalist-open-data.s3.amazonaws.com/photos/108895799/medium.jpeg,,40.4375,-79.9,Common Gilled Mushrooms and Allies,Agaricales,Common Gilled Mushrooms and Allies,Fungi,47167
67405327,2021-01-01 9:11:26 AM EST,2021-01-01,2021-01-01 14:11:26 UTC,919255,cheriecornmesser,research,https://www.inaturalist.org/observations/67405327,https://inaturalist-open-data.s3.amazonaws.com/photos/108896409/medium.jpeg,,40.4363888889,-79.9,splitgill mushroom,Schizophyllum commune,splitgill mushroom,Fungi,54573
67405415,2021-01-01 9:07:42 AM EST,2021-01-01,2021-01-01 14:07:42 UTC,919255,cheriecornmesser,research,https://www.inaturalist.org/observations/67405415,https://inaturalist-open-data.s3.amazonaws.com/photos/108896568/medium.jpeg,,40.4355555556,-79.9,Gilled Polypore,Trametes betulina,Gilled Polypore,Fungi,786918
67405510,2021-01-01 9:06:47 AM EST,2021-01-01,2021-01-01 14:06:47 UTC,919255,cheriecornmesser,needs_id,https://www.inaturalist.org/observations/67405510,https://inaturalist-open-data.s3.amazonaws.com/photos/108896735/medium.jpeg,Very hard to the touch. Firmly atatched. I don't recall this being here on previous himes. ,40.4419444444,-79.8947222222,Exidia,Exidia,,Fungi,55569
67405613,2021-01-01 8:59:17 AM EST,2021-01-01,2021-01-01 13:59:17 UTC,919255,cheriecornmesser,research,https://www.inaturalist.org/observations/67405613,https://inaturalist-open-data.s3.amazonaws.com/photos/108897007/medium.jpeg,,40.4341666667,-79.9011111111,golden ear,Naematelia aurantia,golden ear,Fungi,1109245
67405711,2021-01-01 8:45:04 AM EST,2021-01-01,2021-01-01 13:45:04 UTC,919255,cheriecornmesser,needs_id,https://www.inaturalist.org/observations/67405711,https://inaturalist-open-data.s3.amazonaws.com/photos/108897213/medium.jpeg,,40.4352777778,-79.9055555556,Mustelids,Mustelidae,Mustelids,Mammalia,41770
67412934,2021/01/01 12:24 PM EST,2021-01-01,2021-01-01 17:24:00 UTC,154438,birdizlife,research,https://www.inaturalist.org/observations/67412934,https://inaturalist-open-data.s3.amazonaws.com/photos/108910710/medium.jpeg,,40.4293638233,-79.9523239955,Baltimore Oriole,Icterus galbula,Baltimore Oriole,Aves,9346
